nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name
74	255	23	20	30000.00000000	-30000.00000000	a,Hunters Village\0
75	254	25	18	30000.00000000	-30000.00000000	a,The Forbidden Gateway\0
76	254	24	18	30000.00000000	-30000.00000000	a,Aden Castle\0
77	255	24	18	30000.00000000	-30000.00000000	a,Town of Aden\0
78	255	25	20	30000.00000000	-30000.00000000	a,Anghel Waterfall\0
79	251	23	18	6944.00000000	5952.00000000	a,Tower of Insolence: 10th Floor\0
80	251	23	18	7952.00000000	6976.00000000	a,Tower of Insolence: 11th Floor\0
81	251	23	18	8960.00000000	7968.00000000	a,Tower of Insolence: 12th Floor\0
82	251	23	18	10048.00000000	8976.00000000	a,Tower of Insolence: 13th Floor\0
83	251	23	18	12000.00000000	10064.00000000	a,Tower of Insolence: 14th Floor\0
84	251	23	18	-3728.00000000	-10000.00000000	a,Tower of Insolence: 1st Floor\0
85	251	23	18	-2192.00000000	-3680.00000000	a,Tower of Insolence: 2nd Floor\0
86	251	23	18	-704.00000000	-2128.00000000	a,Tower of Insolence: 3rd Floor\0
87	251	23	18	784.00000000	-688.00000000	a,Tower of Insolence: 4th Floor\0
88	251	23	18	1872.00000000	896.00000000	a,Tower of Insolence: 5th Floor\0
89	251	23	18	2912.00000000	1888.00000000	a,Tower of Insolence: 6th Floor\0
90	251	23	18	3920.00000000	2928.00000000	a,Tower of Insolence: 7th Floor\0
91	251	23	18	4928.00000000	3952.00000000	a,Tower of Insolence: 8th Floor\0
92	251	23	18	5936.00000000	4944.00000000	a,Tower of Insolence: 9th Floor\0
93	254	24	19	30000.00000000	-30000.00000000	a,Coliseum\0
94	255	25	17	30000.00000000	-4220.00000000	a,Devastated Castle\0
95	255	24	17	30000.00000000	-30000.00000000	a,Blazing Swamp\0
96	254	23	17	30000.00000000	-30000.00000000	a,Ancient Battleground\0
97	253	23	17	30000.00000000	-30000.00000000	a,Border Outpost\0
98	255	22	17	30000.00000000	-30000.00000000	a,Bandit Stronghold\0
99	255	22	18	30000.00000000	-4632.00000000	a,Ivory Tower\0
100	254	22	19	30000.00000000	-30000.00000000	a,Oren Castle\0
101	255	22	19	30000.00000000	-30000.00000000	a,Town of Oren\0
102	254	22	20	30000.00000000	-3900.00000000	a,Plains of the Lizardmen\0
103	255	23	19	30000.00000000	-30000.00000000	a,The Enchanted Valley\0
104	255	21	18	30000.00000000	-30000.00000000	a,Sea of Spores\0
105	253	22	19	30000.00000000	-30000.00000000	a,Skyshadow Meadow\0
106	255	19	19	30000.00000000	-30000.00000000	a,Swampland\0
107	255	20	18	30000.00000000	-30000.00000000	a,Dark Elven Village\0
108	254	20	18	30000.00000000	-30000.00000000	a,Temple of Shilen\0
109	255	18	20	30000.00000000	-4000.00000000	a,Altar of Rites\0
110	255	18	19	30000.00000000	-30000.00000000	a,School of Dark Arts\0
111	254	21	19	30000.00000000	-30000.00000000	a,Shadow of the Mother Tree\0
112	255	21	20	30000.00000000	-30000.00000000	a,Iris Lake\0
113	255	21	19	30000.00000000	-30000.00000000	a,Elven Village\0
114	255	20	20	-3200.00000000	-4416.00000000	a,Elven Fortress\0
115	253	21	19	30000.00000000	-30000.00000000	a,Starlight Waterfall\0
116	255	22	23	30000.00000000	-30000.00000000	a,Field of Silence\0
117	255	22	24	30000.00000000	-30000.00000000	a,Field of Whispers\0
118	255	23	24	30000.00000000	-30000.00000000	a,Heine\0
119	255	21	24	30000.00000000	-30000.00000000	a,Devil's Isle\0
120	255	23	23	30000.00000000	-30000.00000000	a,Alligator Island\0
121	255	22	25	30000.00000000	-30000.00000000	a,Garden of Eva\0
122	254	23	24	30000.00000000	-30000.00000000	a,Cruise Liner Docks\0
123	255	23	25	30000.00000000	-30000.00000000	a,Innadril Castle\0
124	254	21	24	30000.00000000	-30000.00000000	a,Pirate Tunnel\0
125	249	17	21	-3968.00000000	-5056.00000000	a,Oracle of Dawn\0
126	249	17	20	-4224.00000000	-5312.00000000	a,Oracle of Dusk\0
127	249	18	20	-4064.00000000	-4896.00000000	a,Ascetics Necropolis\0
128	249	18	24	-4282.00000000	-5242.00000000	a,Necropolis of Sacrifice\0
129	249	19	18	-4224.00000000	-5056.00000000	a,Catacomb of Dark Omens\0
130	249	19	20	-4496.00000000	-5328.00000000	a,Patriots Necropolis\0
131	249	21	21	-4736.00000000	-5568.00000000	a,Pilgrims Necropolis\0
132	249	21	22	-4704.00000000	-5536.00000000	a,Heretics Catacomb\0
133	249	21	23	-4304.00000000	-5136.00000000	a,Catacomb of the Branded\0
134	249	22	20	-3936.00000000	-5280.00000000	a,Catacomb of the Apostate\0
135	249	22	24	-4762.00000000	-5594.00000000	a,Saints Necropolis\0
136	249	23	20	-5352.00000000	-6696.00000000	a,Catacomb of the Forbidden Path\0
137	249	23	22	-4154.00000000	-4986.00000000	a,Martyrs Necropolis\0
138	249	23	23	-4762.00000000	-5594.00000000	a,Worshipers Necropolis\0
139	249	24	20	-3984.00000000	-5584.00000000	a,Catacomb of the Witch\0
140	249	25	17	-4224.00000000	-5644.00000000	a,Disciples Necropolis\0
141	255	16	10	30000.00000000	-30000.00000000	a,GM Consultation Service\0
142	255	18	24	-4282.00000000	-5242.00000000	a,Necropolis of Sacrifice\0
143	253	17	20	-4224.00000000	-5312.00000000	a,Oracle of Dusk\0
144	249	17	20	30000.00000000	-4220.00000000	a,Gludio Territory\0
145	250	17	20	-4224.00000000	-5312.00000000	a,Oracle of Dusk\0
146	250	17	20	30000.00000000	-4220.00000000	a,Dark Forest\0
147	252	18	22	30000.00000000	-30000.00000000	a,Fellmere Lake\0
148	252	17	22	30000.00000000	-30000.00000000	a,Fellmere Lake\0
149	255	19	24	30000.00000000	-4200.00000000	a,Langk Lizardman Dwelling\0
150	253	18	24	30000.00000000	-30000.00000000	a,Red Rock Ridge\0
151	253	19	24	30000.00000000	-30000.00000000	a,Red Rock Ridge\0
152	253	18	23	-3760.00000000	-5632.00000000	a,Forgotten Temple\0
153	254	21	23	30000.00000000	-30000.00000000	a,Tanor Canyon\0
154	254	22	22	30000.00000000	-30000.00000000	a,Tanor Canyon\0
155	253	21	23	30000.00000000	-30000.00000000	a,Bee Hive\0
156	254	23	18	30000.00000000	-30000.00000000	a,Ancient Battleground\0
157	249	18	24	30000.00000000	-4200.00000000	a,Red Rock Ridge\0
158	249	22	20	30000.00000000	-3900.00000000	a,Oren Territory\0
159	254	22	20	-3936.00000000	-5280.00000000	a,Catacomb of the Apostate\0
160	249	17	21	30000.00000000	-3950.00000000	a,Gludio Territory\0
161	249	18	20	30000.00000000	-4000.00000000	a,Dark Forest\0
162	255	18	20	-4064.00000000	-4896.00000000	a,Ascetics Necropolis\0
163	250	18	20	30000.00000000	-4000.00000000	a,Misty Mountains\0
164	250	18	20	-4064.00000000	-4896.00000000	a,Ascetics Necropolis\0
165	250	19	20	-4496.00000000	-5328.00000000	a,Patriots Necropolis\0
166	249	19	20	30000.00000000	-4480.00000000	a,Dark Forest\0
167	250	19	20	30000.00000000	-4480.00000000	a,Neutral Zone\0
168	249	19	18	30000.00000000	-4220.00000000	a,Dark Forest\0
169	249	21	21	30000.00000000	-4700.00000000	a,Partisan Hideaway\0
170	249	21	22	30000.00000000	-4700.00000000	a,Execution Ground\0
171	249	21	23	30000.00000000	-4300.00000000	a,Giran Territory\0
172	249	22	24	30000.00000000	-4760.00000000	a,Field of Whispers\0
173	249	23	20	30000.00000000	-5350.00000000	a,Hunters Village\0
174	249	23	22	30000.00000000	-4150.00000000	a,Gorgon's Flower Garden\0
175	249	23	23	30000.00000000	-4760.00000000	a,Alligator Island\0
176	249	24	20	30000.00000000	-3980.00000000	a,The Forest of Mirrors\0
177	255	25	17	-4224.00000000	-5644.00000000	a,Disciples Necropolis\0
178	255	25	21	30000.00000000	-30000.00000000	a,Antharas's Nest\0
179	254	19	23	30000.00000000	-4200.00000000	a,Wasteland\0
180	255	20	14	30000.00000000	-3900.00000000	a,Lyonn Territory\0
181	255	20	20	30000.00000000	-3100.00000000	a,Elven Forest\0
182	254	18	23	30000.00000000	-3700.00000000	a,Gludio Territory\0
183	255	24	12	30000.00000000	3430.00000000	a,Schuttgart Territory\0
184	255	25	12	30000.00000000	4250.00000000	a,Schuttgart Territory\0
185	254	25	19	30000.00000000	-5170.00000000	a,The Giants Cave\0
186	254	19	19	30000.00000000	-30000.00000000	a,Undine Waterfall\0
187	254	22	18	30000.00000000	-30000.00000000	a,Altar of Gods Waterfall\0
188	249	25	17	30000.00000000	-4220.00000000	a,Fields of Massacre\0
189	244	19	13	30000.00000000	-30000.00000000	a,Northern Immortal Plateau\0
190	244	19	14	30000.00000000	-30000.00000000	a,Northern Immortal Plateau\0
191	244	19	15	30000.00000000	-30000.00000000	a,Northern Immortal Plateau\0
192	244	20	13	30000.00000000	-30000.00000000	a,Northern Immortal Plateau\0
193	244	20	14	30000.00000000	-30000.00000000	a,Northern Immortal Plateau\0
194	245	19	15	30000.00000000	-30000.00000000	a,Southern Immortal Plateau\0
195	245	20	14	30000.00000000	-30000.00000000	a,Southern Immortal Plateau\0
196	245	20	15	30000.00000000	-30000.00000000	a,Southern Immortal Plateau\0
197	243	18	14	30000.00000000	-30000.00000000	a,Hero's Valley\0
198	243	19	14	30000.00000000	-30000.00000000	a,Hero's Valley\0
199	243	23	12	30000.00000000	-30000.00000000	a,Frozen Valley\0
200	244	23	11	30000.00000000	-30000.00000000	a,Western Mining Region\0
201	244	23	12	30000.00000000	-30000.00000000	a,Western Mining Region\0
202	244	24	11	30000.00000000	-30000.00000000	a,Western Mining Region\0
203	244	24	12	30000.00000000	-30000.00000000	a,Western Mining Region\0
204	245	24	11	30000.00000000	-30000.00000000	a,Eastern Mining Region\0
205	245	24	12	30000.00000000	-30000.00000000	a,Eastern Mining Region\0
206	245	25	11	30000.00000000	-30000.00000000	a,Eastern Mining Region\0
207	245	25	12	30000.00000000	-30000.00000000	a,Eastern Mining Region\0
208	244	23	24	30000.00000000	-30000.00000000	a,Alligator Beach\0
209	244	24	18	30000.00000000	-30000.00000000	a,Plains of Glory\0
210	243	24	17	30000.00000000	-30000.00000000	a,Fields of Massacre\0
211	243	25	17	30000.00000000	-30000.00000000	a,Fields of Massacre\0
212	245	24	18	30000.00000000	-30000.00000000	a,Plains of Fierce Battle\0
213	245	25	18	30000.00000000	-30000.00000000	a,Plains of Fierce Battle\0
214	244	23	21	30000.00000000	-30000.00000000	a,Gorgon's Flower Garden\0
215	244	23	22	30000.00000000	-30000.00000000	a,Gorgon's Flower Garden\0
216	245	22	21	30000.00000000	-30000.00000000	a,Breka's Stronghold\0
217	245	22	22	30000.00000000	-30000.00000000	a,Breka's Stronghold\0
218	244	17	20	30000.00000000	-30000.00000000	a,Spider Nest\0
219	244	18	20	30000.00000000	-30000.00000000	a,Spider Nest\0
220	251	18	19	30000.00000000	-30000.00000000	a,Black Rock Hill\0
221	251	18	20	30000.00000000	-30000.00000000	a,Black Rock Hill\0
222	251	19	19	30000.00000000	-30000.00000000	a,Black Rock Hill\0
223	251	19	20	30000.00000000	-30000.00000000	a,Black Rock Hill\0
224	244	19	18	30000.00000000	-30000.00000000	a,Garden of Shilen\0
225	244	20	18	30000.00000000	-30000.00000000	a,Garden of Shilen\0
226	244	21	18	30000.00000000	-30000.00000000	a,Garden of Shilen\0
227	245	18	20	30000.00000000	-30000.00000000	a,Forest of Sacrifice\0
228	245	19	20	30000.00000000	-30000.00000000	a,Forest of Sacrifice\0
229	244	19	21	30000.00000000	-30000.00000000	a,Looting Area of Evil Spirits\0
230	244	20	21	30000.00000000	-30000.00000000	a,Looting Area of Evil Spirits\0
231	244	22	19	30000.00000000	-30000.00000000	a,Timak Outpost\0
232	244	22	20	30000.00000000	-30000.00000000	a,Timak Outpost\0
233	245	22	17	30000.00000000	-30000.00000000	a,Forest of Outlaws\0
234	245	22	18	30000.00000000	-30000.00000000	a,Forest of Outlaws\0
235	245	23	17	30000.00000000	-30000.00000000	a,Forest of Outlaws\0
236	245	23	18	30000.00000000	-30000.00000000	a,Forest of Outlaws\0
237	253	23	20	30000.00000000	-30000.00000000	a,Hunters Valley\0
238	244	22	18	30000.00000000	-30000.00000000	a,Forest of Evil Spirits\0
239	253	22	18	30000.00000000	-30000.00000000	a,Crater of Ivory Tower\0
240	255	22	18	-4633.00000000	-30000.00000000	a,Crater of Ivory Tower\0
241	244	20	23	30000.00000000	-30000.00000000	a,Plains of Dion\0
242	245	20	22	30000.00000000	-30000.00000000	a,Floran Agricultural Area\0
243	245	20	23	30000.00000000	-30000.00000000	a,Floran Agricultural Area\0
244	243	20	22	30000.00000000	-30000.00000000	a,Dion Hills\0
245	243	21	22	30000.00000000	-30000.00000000	a,Dion Hills\0
246	245	19	22	30000.00000000	-30000.00000000	a,Windawood Manor\0
247	245	19	23	30000.00000000	-30000.00000000	a,Windawood Manor\0
248	245	19	24	30000.00000000	-30000.00000000	a,Ol Mahum Checkpoint\0
249	245	17	20	30000.00000000	-30000.00000000	a,Fellmere Harvest Grounds\0
250	245	17	21	30000.00000000	-30000.00000000	a,Fellmere Harvest Grounds\0
251	245	18	21	30000.00000000	-30000.00000000	a,Fellmere Harvest Grounds\0
252	251	18	21	30000.00000000	-30000.00000000	a,The Ruins Bend\0
253	251	18	22	30000.00000000	-30000.00000000	a,The Ruins Bend\0
254	251	19	22	30000.00000000	-30000.00000000	a,The Ruins Bend\0
255	244	17	22	30000.00000000	-30000.00000000	a,Windmill Hill\0
256	244	17	23	30000.00000000	-30000.00000000	a,Windmill Hill\0
257	244	18	22	30000.00000000	-30000.00000000	a,Windmill Hill\0
258	244	18	23	30000.00000000	-30000.00000000	a,Windmill Hill\0
259	244	16	24	30000.00000000	-30000.00000000	a,Western Territory of Talking Island\0
260	244	16	25	30000.00000000	-30000.00000000	a,Western Territory of Talking Island\0
261	244	16	26	30000.00000000	-30000.00000000	a,Western Territory of Talking Island\0
262	245	17	24	30000.00000000	-30000.00000000	a,Eastern Territory of Talking Island\0
263	245	17	25	30000.00000000	-30000.00000000	a,Eastern Territory of Talking Island\0
264	245	17	26	30000.00000000	-30000.00000000	a,Eastern Territory of Talking Island\0
265	245	18	25	30000.00000000	-30000.00000000	a,Eastern Territory of Talking Island\0
266	245	18	26	30000.00000000	-30000.00000000	a,Eastern Territory of Talking Island\0
267	251	20	23	30000.00000000	-30000.00000000	a,Arena\0
