id	level	name	description	desc_add1	desc_add2
28	28	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1513.\0	a,none\0	a,none\0
28	29	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1541.\0	a,none\0	a,none\0
28	30	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1568.\0	a,none\0	a,none\0
28	31	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1595.\0	a,none\0	a,none\0
28	32	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1621.\0	a,none\0	a,none\0
28	33	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1647.\0	a,none\0	a,none\0
28	34	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1672.\0	a,none\0	a,none\0
28	35	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1697.\0	a,none\0	a,none\0
28	36	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1721.\0	a,none\0	a,none\0
28	37	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1745.\0	a,none\0	a,none\0
28	38	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1768.\0	a,none\0	a,none\0
28	39	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1790.\0	a,none\0	a,none\0
28	40	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1811.\0	a,none\0	a,none\0
28	41	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1831.\0	a,none\0	a,none\0
28	42	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1851.\0	a,none\0	a,none\0
28	43	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1870.\0	a,none\0	a,none\0
28	44	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1888.\0	a,none\0	a,none\0
28	45	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1905.\0	a,none\0	a,none\0
28	46	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1921.\0	a,none\0	a,none\0
28	47	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1936.\0	a,none\0	a,none\0
28	48	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1950.\0	a,none\0	a,none\0
28	49	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1963.\0	a,none\0	a,none\0
28	101	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+1 Power\0	a,Maximizes the skill's power. Increases the power.\0
28	102	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+2 Power\0	a,Increases the power.\0
28	103	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+3 Power\0	a,Increases the power.\0
28	104	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+4 Power\0	a,Increases the power.\0
28	105	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+5 Power\0	a,Increases the power.\0
28	106	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+6 Power\0	a,Increases the power.\0
28	107	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+7 Power\0	a,Increases the power.\0
28	108	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+8 Power\0	a,Increases the power.\0
28	109	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+9 Power\0	a,Increases the power.\0
28	110	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+10 Power\0	a,Increases the power.\0
28	111	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+11 Power\0	a,Increases the power.\0
28	112	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+12 Power\0	a,Increases the power.\0
28	113	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+13 Power\0	a,Increases the power.\0
28	114	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+14 Power\0	a,Increases the power.\0
28	115	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+15 Power\0	a,Increases the power.\0
28	116	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+16 Power\0	a,Increases the power.\0
28	117	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+17 Power\0	a,Increases the power.\0
28	118	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+18 Power\0	a,Increases the power.\0
28	119	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+19 Power\0	a,Increases the power.\0
28	120	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+20 Power\0	a,Increases the power.\0
28	121	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+21 Power\0	a,Increases the power.\0
28	122	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+22 Power\0	a,Increases the power.\0
28	123	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+23 Power\0	a,Increases the power.\0
28	124	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+24 Power\0	a,Increases the power.\0
28	125	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+25 Power\0	a,Increases the power.\0
28	126	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+26 Power\0	a,Increases the power.\0
28	127	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+27 Power\0	a,Increases the power.\0
28	128	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+28 Power\0	a,Increases the power.\0
28	129	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+29 Power\0	a,Increases the power.\0
28	130	a,Hate\0	a,Provokes opponent's desire to attack. Enchant Power: power is increased.  Power 2008.\0	a,+30 Power\0	a,Increases the power.\0
28	141	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+1 Cost\0	a,Maximizes efficiency of skill. MP consumption decreases.\0
28	142	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+2 Cost\0	a,MP consumption decreases.\0
28	143	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+3 Cost\0	a,MP consumption decreases.\0
28	144	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+4 Cost\0	a,MP consumption decreases.\0
28	145	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+5 Cost\0	a,MP consumption decreases.\0
28	146	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+6 Cost\0	a,MP consumption decreases.\0
28	147	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+7 Cost\0	a,MP consumption decreases.\0
28	148	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+8 Cost\0	a,MP consumption decreases.\0
28	149	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+9 Cost\0	a,MP consumption decreases.\0
28	150	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+10 Cost\0	a,MP consumption decreases.\0
28	151	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+11 Cost\0	a,MP consumption decreases.\0
28	152	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+12 Cost\0	a,MP consumption decreases.\0
28	153	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+13 Cost\0	a,MP consumption decreases.\0
28	154	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+14 Cost\0	a,MP consumption decreases.\0
28	155	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+15 Cost\0	a,MP consumption decreases.\0
28	156	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+16 Cost\0	a,MP consumption decreases.\0
28	157	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+17 Cost\0	a,MP consumption decreases.\0
28	158	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+18 Cost\0	a,MP consumption decreases.\0
28	159	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+19 Cost\0	a,MP consumption decreases.\0
28	160	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+20 Cost\0	a,MP consumption decreases.\0
28	161	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+21 Cost\0	a,MP consumption decreases.\0
28	162	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+22 Cost\0	a,MP consumption decreases.\0
28	163	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+23 Cost\0	a,MP consumption decreases.\0
28	164	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+24 Cost\0	a,MP consumption decreases.\0
28	165	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+25 Cost\0	a,MP consumption decreases.\0
28	166	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+26 Cost\0	a,MP consumption decreases.\0
28	167	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+27 Cost\0	a,MP consumption decreases.\0
28	168	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+28 Cost\0	a,MP consumption decreases.\0
28	169	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+29 Cost\0	a,MP consumption decreases.\0
28	170	a,Hate\0	u,Provokes opponent's desire to attack. Enchant Cost: the MP consumption of one’s skill is decreased.  Power 1963.\0	a,+30 Cost\0	a,MP consumption decreases.\0
45	1	a,Divine Heal\0	a,Recovers one's HP. Power 143.\0	a,none\0	a,none\0
45	2	a,Divine Heal\0	a,Recovers one's HP. Power 150.\0	a,none\0	a,none\0
45	3	a,Divine Heal\0	a,Recovers one's HP. Power 157.\0	a,none\0	a,none\0
45	4	a,Divine Heal\0	a,Recovers one's HP. Power 171.\0	a,none\0	a,none\0
45	5	a,Divine Heal\0	a,Recovers one's HP. Power 179.\0	a,none\0	a,none\0
45	6	a,Divine Heal\0	a,Recovers one's HP. Power 187.\0	a,none\0	a,none\0
45	7	a,Divine Heal\0	a,Recovers one's HP. Power 203.\0	a,none\0	a,none\0
45	8	a,Divine Heal\0	a,Recovers one's HP. Power 211.\0	a,none\0	a,none\0
45	9	a,Divine Heal\0	a,Recovers one's HP. Power 219.\0	a,none\0	a,none\0
56	1	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 65. Over-hit available.\0	a,none\0	a,none\0
56	2	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 71. Over-hit available.\0	a,none\0	a,none\0
56	3	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 78. Over-hit available.\0	a,none\0	a,none\0
56	4	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 102. Over-hit available.\0	a,none\0	a,none\0
56	5	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 112. Over-hit available.\0	a,none\0	a,none\0
56	6	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 122. Over-hit available.\0	a,none\0	a,none\0
56	7	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 158. Over-hit available.\0	a,none\0	a,none\0
56	8	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 172. Over-hit available.\0	a,none\0	a,none\0
56	9	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 187. Over-hit available.\0	a,none\0	a,none\0
56	10	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 239. Over-hit available.\0	a,none\0	a,none\0
56	11	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 258. Over-hit available.\0	a,none\0	a,none\0
56	12	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 279. Over-hit available.\0	a,none\0	a,none\0
56	13	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 326. Over-hit available.\0	a,none\0	a,none\0
56	14	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 352. Over-hit available.\0	a,none\0	a,none\0
56	15	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 379. Over-hit available.\0	a,none\0	a,none\0
56	16	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 440. Over-hit available.\0	a,none\0	a,none\0
56	17	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 472. Over-hit available.\0	a,none\0	a,none\0
56	18	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 507. Over-hit available.\0	a,none\0	a,none\0
56	19	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 584. Over-hit available.\0	a,none\0	a,none\0
56	20	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 625. Over-hit available.\0	a,none\0	a,none\0
56	21	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 669. Over-hit available.\0	a,none\0	a,none\0
56	22	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 763. Over-hit available.\0	a,none\0	a,none\0
56	23	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 814. Over-hit available.\0	a,none\0	a,none\0
56	24	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 865. Over-hit available.\0	a,none\0	a,none\0
58	1	a,Elemental Heal\0	a,Regenerates one's HP. Power 71.\0	a,none\0	a,none\0
58	2	a,Elemental Heal\0	a,Regenerates one's HP. Power 75.\0	a,none\0	a,none\0
58	3	a,Elemental Heal\0	a,Regenerates one's HP. Power 80.\0	a,none\0	a,none\0
58	4	a,Elemental Heal\0	a,Regenerates one's HP. Power 95.\0	a,none\0	a,none\0
58	5	a,Elemental Heal\0	a,Regenerates one's HP. Power 100.\0	a,none\0	a,none\0
58	6	a,Elemental Heal\0	a,Regenerates one's HP. Power 106.\0	a,none\0	a,none\0
58	7	a,Elemental Heal\0	a,Regenerates one's HP. Power 118.\0	a,none\0	a,none\0
58	8	a,Elemental Heal\0	a,Regenerates one's HP. Power 124.\0	a,none\0	a,none\0
58	9	a,Elemental Heal\0	a,Regenerates one's HP. Power 130.\0	a,none\0	a,none\0
58	10	a,Elemental Heal\0	a,Regenerates one's HP. Power 143.\0	a,none\0	a,none\0
58	11	a,Elemental Heal\0	a,Regenerates one's HP. Power 150.\0	a,none\0	a,none\0
58	12	a,Elemental Heal\0	a,Regenerates one's HP. Power 157.\0	a,none\0	a,none\0
58	13	a,Elemental Heal\0	a,Regenerates one's HP. Power 171.\0	a,none\0	a,none\0
58	14	a,Elemental Heal\0	a,Regenerates one's HP. Power 179.\0	a,none\0	a,none\0
58	15	a,Elemental Heal\0	a,Regenerates one's HP. Power 187.\0	a,none\0	a,none\0
58	16	a,Elemental Heal\0	a,Regenerates one's HP. Power 203.\0	a,none\0	a,none\0
58	17	a,Elemental Heal\0	a,Regenerates one's HP. Power 211.\0	a,none\0	a,none\0
58	18	a,Elemental Heal\0	a,Regenerates one's HP. Power 219.\0	a,none\0	a,none\0
58	19	a,Elemental Heal\0	a,Regenerates one's HP. Power 236.\0	a,none\0	a,none\0
58	20	a,Elemental Heal\0	a,Regenerates one's HP. Power 245.\0	a,none\0	a,none\0
58	21	a,Elemental Heal\0	a,Regenerates one's HP. Power 254.\0	a,none\0	a,none\0
58	22	a,Elemental Heal\0	a,Regenerates one's HP. Power 262.\0	a,none\0	a,none\0
58	23	a,Elemental Heal\0	a,Regenerates one's HP. Power 271.\0	a,none\0	a,none\0
58	24	a,Elemental Heal\0	a,Regenerates one's HP. Power 281.\0	a,none\0	a,none\0
58	25	a,Elemental Heal\0	a,Regenerates one's HP. Power 290.\0	a,none\0	a,none\0
58	26	a,Elemental Heal\0	a,Regenerates one's HP. Power 299.\0	a,none\0	a,none\0
58	27	a,Elemental Heal\0	a,Regenerates one's HP. Power 308.\0	a,none\0	a,none\0
58	28	a,Elemental Heal\0	a,Regenerates one's HP. Power 318.\0	a,none\0	a,none\0
58	29	a,Elemental Heal\0	a,Regenerates one's HP. Power 327.\0	a,none\0	a,none\0
58	30	a,Elemental Heal\0	a,Regenerates one's HP. Power 337.\0	a,none\0	a,none\0
58	31	a,Elemental Heal\0	a,Regenerates one's HP. Power 346.\0	a,none\0	a,none\0
58	32	a,Elemental Heal\0	a,Regenerates one's HP. Power 356.\0	a,none\0	a,none\0
58	33	a,Elemental Heal\0	a,Regenerates one's HP. Power 365.\0	a,none\0	a,none\0
58	34	a,Elemental Heal\0	a,Regenerates one's HP. Power 375.\0	a,none\0	a,none\0
58	35	a,Elemental Heal\0	a,Regenerates one's HP. Power 384.\0	a,none\0	a,none\0
58	36	a,Elemental Heal\0	a,Regenerates one's HP. Power 393.\0	a,none\0	a,none\0
58	37	a,Elemental Heal\0	a,Regenerates one's HP. Power 403.\0	a,none\0	a,none\0
58	38	a,Elemental Heal\0	a,Regenerates one's HP. Power 412.\0	a,none\0	a,none\0
58	39	a,Elemental Heal\0	a,Regenerates one's HP. Power 421.\0	a,none\0	a,none\0
58	40	a,Elemental Heal\0	a,Regenerates one's HP. Power 430.\0	a,none\0	a,none\0
58	41	a,Elemental Heal\0	a,Regenerates one's HP. Power 439.\0	a,none\0	a,none\0
58	42	a,Elemental Heal\0	a,Regenerates one's HP. Power 448.\0	a,none\0	a,none\0
58	43	a,Elemental Heal\0	a,Regenerates one's HP. Power 457.\0	a,none\0	a,none\0
58	44	a,Elemental Heal\0	a,Regenerates one's HP. Power 466.\0	a,none\0	a,none\0
58	45	a,Elemental Heal\0	a,Regenerates one's HP. Power 474.\0	a,none\0	a,none\0
58	46	a,Elemental Heal\0	a,Regenerates one's HP. Power 482.\0	a,none\0	a,none\0
58	47	a,Elemental Heal\0	a,Regenerates one's HP. Power 490.\0	a,none\0	a,none\0
