tag	class	mesh	cnt_tex1	tex1[0]	tex1[1]	tex1[2]	tex1[3]	tex1[4]	cnt_tex2	tex1[0]	tex1[1]	cnt_dtab1	dtab1[0]	dtab1[1]	dtab1[2]	dtab1[3]	dtab1[4]	dtab1[5]	dtab1[6]	dtab1[7]	dtab1[8]	dtab1[9]	npc_speed	UNK_0	cnt_snd1	snd1[0]	snd1[1]	snd1[2]	cnt_snd2	snd2[0]	snd2[1]	snd2[2]	snd2[3]	snd2[4]	cnt_snd3	snd3[0]	snd3[1]	snd3[2]	UNK_0a	unk1_cnt	unk1_tab[0]	unk1_tab[1]	unk1_tab[2]	unk1_tab[3]	unk1_tab[4]	unk1_tab[5]	unk1_tab[6]	unk1_tab[7]	unk1_tab[8]	unk1_tab[9]	unk1_tab[10]	unk1_tab[11]	unk1_tab[12]	unk1_tab[13]	unk1_tab[14]	unk1_tab[15]	unk1_tab[16]	unk1_tab[17]	unk1_tab[18]	unk1_tab[19]	unk1_tab[20]	unk1_tab[21]	unk1_tab[22]	unk1_tab[23]	unk1_tab[24]	unk1_tab[25]	level_lim_dn	level_lim_up	effect	UNK_2	sound_rad	sound_vol	sound_rnd	quest_be	class_lim_?
37	LineageMonster.mana_vampire	LineageMonsters.mana_vampire_m00	2	LineageMonstersTex.mana_vampire_t00	LineageMonstersTex.mana_vampire_t01				0			4	4291	4303	20072	20073							1.00000000	0	1				4	MonSound.Hit_Bone_8	MonSound.Hit_Wet_5	MonSound.Hit_Wet_4	MonSound.Hit_Normal_10		3	MonSound.m_vampire_dmg_1	MonSound.m_vampire_dmg_2	MonSound.m_vampire_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
38	LineageMonster.poison_spider	LineageMonsters.poison_spider_m00	2	LineageMonstersTex.poison_spider_t00	LineageMonstersTex.poison_spider_t01				0			4	4301	4279	20074	20075							1.00000000	0	1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.p_spider_dmg_1	MonSound.p_spider_dmg_2	MonSound.p_spider_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
39	LineageMonster.wererat	LineageMonsters.wererat_m00	2	LineageMonstersTex.wererat_t00	LineageMonstersTex.wererat_t01				0			3	4295	20076	20077								1.00000000	0	3	ItemSound.sword_big_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_Bone_2	ItemSound.shield_steel_2	ItemSound.armor_leather_5	ItemSound.armor_metal_alt_1		3	MonSound.wererat_dmg_1	MonSound.wererat_dmg_2	MonSound.wererat_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
40	LineageMonster.wererat	LineageMonsters.wererat_m00	2	LineageMonstersTex.wererat_t00	LineageMonstersTex.wererat_t01				0			3	4295	20078	20079								1.00000000	0	3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	4	MonSound.Hit_Bone_2	ItemSound.shield_steel_2	ItemSound.armor_leather_5	ItemSound.armor_metal_alt_1		3	MonSound.wererat_dmg_1	MonSound.wererat_dmg_2	MonSound.wererat_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
41	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			8	4290	4275	4278	4071	4116	4284	20080	20081			1.00000000	0	1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
42	LineageMonster.skeleton	LineageMonsters.skeleton_m00	2	LineageMonstersTex.skeleton_t00	LineageMonstersTex.skeleton_t01				0			6	4290	4275	4278	4274	20082	20083					1.00000000	0	3	ItemSound.spear_2	ItemSound.sword_mid_9	ItemSound.sword_mid_3	5	MonSound.Hit_bone_1	MonSound.Hit_Bone_4	MonSound.Hit_bone_7	MonSound.Hit_Bone_8	ItemSound.Armor_bone_3	3	MonSound.skeleton_dmg_1	MonSound.skeleton_dmg_2	MonSound.skeleton_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
43	LineageMonster.poison_spider	LineageMonsters.poison_spider_m00	2	LineageMonstersTex.poison_spider_t00	LineageMonstersTex.poison_spider_t01				0			4	4301	4279	20084	20085							1.00000000	0	1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.p_spider_dmg_1	MonSound.p_spider_dmg_2	MonSound.p_spider_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
44	LineageMonster.sylph	LineageMonsters.sylph_m00	2	LineageMonstersTex.sylph_t00	LineageMonstersTex.sylph_t01				0			5	4296	4011	4282	20086	20087						1.00000000	0	1				3	MonSound.Hit_Soul_5	MonSound.Hit_Soul_6	MonSound.Hit_Soul_8			3	MonSound.sylph_dmg_1	MonSound.sylph_dmg_2	MonSound.sylph_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
45	LineageMonster.skeleton_archer	LineageMonsters.skeleton_archer_m00	3	LineageMonstersTex.skeleton_archer_t00	LineageMonstersTex.skeleton_archer_t01	LineageMonstersTex.skeleton_archer_t02			0			6	4290	4275	4278	4274	20088	20089					1.00000000	0	3	ItemSound.sword_mid_3	ItemSound.spear_2	ItemSound.spear_4	3	MonSound.Hit_Bone_2	ItemSound.armor_leather_2	ItemSound.shield_bone_3			3	MonSound.skeleton_arc_dmg_1	MonSound.skeleton_arc_dmg_2	MonSound.skeleton_arc_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
46	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			8	4290	4275	4278	4071	4116	4284	20090	20091			1.00000000	0	1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
47	LineageMonster.wererat	LineageMonsters.wererat_m00	2	LineageMonstersTex.wererat_t00	LineageMonstersTex.wererat_t01				0			3	4295	20092	20093								1.00000000	0	3	ItemSound.hammer_1	ItemSound.sword_big_2	ItemSound.sword_mid_9	4	MonSound.Hit_Bone_2	ItemSound.shield_steel_2	ItemSound.armor_leather_5	ItemSound.armor_metal_alt_1		3	MonSound.wererat_dmg_1	MonSound.wererat_dmg_2	MonSound.wererat_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
