id	level	name	description
28	4	a,Aggression\0	a,Provokes opponent's desire to attack. Power 752.\0
28	5	a,Aggression\0	a,Provokes opponent's desire to attack. Power 777.\0
28	6	a,Aggression\0	a,Provokes opponent's desire to attack. Power 803.\0
28	7	a,Aggression\0	a,Provokes opponent's desire to attack. Power 855.\0
28	8	a,Aggression\0	a,Provokes opponent's desire to attack. Power 882.\0
28	9	a,Aggression\0	a,Provokes opponent's desire to attack. Power 909.\0
28	10	a,Aggression\0	a,Provokes opponent's desire to attack. Power 965.\0
28	11	a,Aggression\0	a,Provokes opponent's desire to attack. Power 993.\0
28	12	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1021.\0
28	13	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1078.\0
28	14	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1107.\0
28	15	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1136.\0
28	16	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1166.\0
28	17	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1195.\0
28	18	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1224.\0
28	19	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1254.\0
28	20	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1283.\0
28	21	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1312.\0
28	22	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1342.\0
28	23	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1371.\0
28	24	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1400.\0
28	25	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1428.\0
28	26	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1457.\0
28	27	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1485.\0
28	28	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1513.\0
28	29	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1541.\0
28	30	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1568.\0
28	31	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1595.\0
28	32	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1621.\0
28	33	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1647.\0
28	34	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1672.\0
28	35	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1697.\0
28	36	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1721.\0
28	37	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1745.\0
28	38	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1768.\0
28	39	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1790.\0
28	40	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1811.\0
28	41	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1831.\0
28	42	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1851.\0
28	43	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1870.\0
28	44	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1888.\0
28	45	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1905.\0
28	46	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1921.\0
28	47	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1936.\0
28	48	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1950.\0
28	49	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1963.\0
45	1	a,Divine Heal\0	a,Recovers one's HP. Power 143.\0
45	2	a,Divine Heal\0	a,Recovers one's HP. Power 150.\0
45	3	a,Divine Heal\0	a,Recovers one's HP. Power 157.\0
45	4	a,Divine Heal\0	a,Recovers one's HP. Power 171.\0
45	5	a,Divine Heal\0	a,Recovers one's HP. Power 179.\0
45	6	a,Divine Heal\0	a,Recovers one's HP. Power 187.\0
45	7	a,Divine Heal\0	a,Recovers one's HP. Power 203.\0
45	8	a,Divine Heal\0	a,Recovers one's HP. Power 211.\0
45	9	a,Divine Heal\0	a,Recovers one's HP. Power 219.\0
56	1	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 65. Over-hit available.\0
56	2	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 71. Over-hit available.\0
56	3	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 78. Over-hit available.\0
56	4	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 102. Over-hit available.\0
56	5	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 112. Over-hit available.\0
56	6	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 122. Over-hit available.\0
56	7	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 158. Over-hit available.\0
56	8	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 172. Over-hit available.\0
56	9	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 187. Over-hit available.\0
56	10	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 239. Over-hit available.\0
56	11	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 258. Over-hit available.\0
56	12	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 279. Over-hit available.\0
56	13	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 326. Over-hit available.\0
56	14	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 352. Over-hit available.\0
56	15	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 379. Over-hit available.\0
56	16	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 440. Over-hit available.\0
56	17	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 472. Over-hit available.\0
56	18	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 507. Over-hit available.\0
56	19	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 584. Over-hit available.\0
56	20	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 625. Over-hit available.\0
56	21	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 669. Over-hit available.\0
56	22	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 763. Over-hit available.\0
56	23	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 814. Over-hit available.\0
56	24	a,Power Shot\0	a,Causes great damage from afar when using a bow. Power 865. Over-hit available.\0
58	1	a,Elemental Heal\0	a,Recovers your HP. Power 71.\0
58	2	a,Elemental Heal\0	a,Recovers your HP. Power 75.\0
58	3	a,Elemental Heal\0	a,Recovers your HP. Power 80.\0
58	4	a,Elemental Heal\0	a,Recovers your HP. Power 95.\0
58	5	a,Elemental Heal\0	a,Recovers your HP. Power 100.\0
58	6	a,Elemental Heal\0	a,Recovers your HP. Power 106.\0
58	7	a,Elemental Heal\0	a,Recovers your HP. Power 118.\0
58	8	a,Elemental Heal\0	a,Recovers your HP. Power 124.\0
58	9	a,Elemental Heal\0	a,Recovers your HP. Power 130.\0
58	10	a,Elemental Heal\0	a,Recovers your HP. Power 143.\0
58	11	a,Elemental Heal\0	a,Recovers your HP. Power 150.\0
58	12	a,Elemental Heal\0	a,Recovers your HP. Power 157.\0
58	13	a,Elemental Heal\0	a,Recovers your HP. Power 171.\0
58	14	a,Elemental Heal\0	a,Recovers your HP. Power 179.\0
58	15	a,Elemental Heal\0	a,Recovers your HP. Power 187.\0
58	16	a,Elemental Heal\0	a,Recovers your HP. Power 203.\0
58	17	a,Elemental Heal\0	a,Recovers your HP. Power 211.\0
58	18	a,Elemental Heal\0	a,Recovers your HP. Power 219.\0
58	19	a,Elemental Heal\0	a,Recovers your HP. Power 236.\0
58	20	a,Elemental Heal\0	a,Recovers your HP. Power 245.\0
58	21	a,Elemental Heal\0	a,Recovers your HP. Power 254.\0
58	22	a,Elemental Heal\0	a,Recovers your HP. Power 262.\0
58	23	a,Elemental Heal\0	a,Recovers your HP. Power 271.\0
58	24	a,Elemental Heal\0	a,Recovers your HP. Power 281.\0
58	25	a,Elemental Heal\0	a,Recovers your HP. Power 290.\0
58	26	a,Elemental Heal\0	a,Recovers your HP. Power 299.\0
58	27	a,Elemental Heal\0	a,Recovers your HP. Power 308.\0
58	28	a,Elemental Heal\0	a,Recovers your HP. Power 318.\0
58	29	a,Elemental Heal\0	a,Recovers your HP. Power 327.\0
58	30	a,Elemental Heal\0	a,Recovers your HP. Power 337.\0
58	31	a,Elemental Heal\0	a,Recovers your HP. Power 346.\0
58	32	a,Elemental Heal\0	a,Recovers your HP. Power 356.\0
58	33	a,Elemental Heal\0	a,Recovers your HP. Power 365.\0
58	34	a,Elemental Heal\0	a,Recovers your HP. Power 375.\0
58	35	a,Elemental Heal\0	a,Recovers your HP. Power 384.\0
58	36	a,Elemental Heal\0	a,Recovers your HP. Power 393.\0
58	37	a,Elemental Heal\0	a,Recovers your HP. Power 403.\0
58	38	a,Elemental Heal\0	a,Recovers your HP. Power 412.\0
58	39	a,Elemental Heal\0	a,Recovers your HP. Power 421.\0
58	40	a,Elemental Heal\0	a,Recovers your HP. Power 430.\0
58	41	a,Elemental Heal\0	a,Recovers your HP. Power 439.\0
58	42	a,Elemental Heal\0	a,Recovers your HP. Power 448.\0
58	43	a,Elemental Heal\0	a,Recovers your HP. Power 457\0
58	44	a,Elemental Heal\0	a,Recovers your HP. Power 466\0
58	45	a,Elemental Heal\0	a,Recovers your HP. Power 474\0
58	46	a,Elemental Heal\0	a,Recovers your HP. Power 482\0
58	47	a,Elemental Heal\0	a,Recovers your HP. Power 490\0
58	48	a,Elemental Heal\0	a,Recovers your HP. Power 498\0
58	49	a,Elemental Heal\0	a,Recovers your HP. Power 506\0
58	50	a,Elemental Heal\0	a,Recovers your HP. Power 513\0
58	51	a,Elemental Heal\0	a,Recovers your HP. Power 520\0
58	52	a,Elemental Heal\0	a,Recovers your HP. Power 527\0
58	53	a,Elemental Heal\0	a,Recovers your HP. Power 534\0
58	54	a,Elemental Heal\0	a,Recovers your HP. Power 540\0
58	55	a,Elemental Heal\0	a,Recovers your HP. Power 546\0
61	1	a,Cure Bleeding\0	a,Heals one's wounds. Effect less than 3\0
61	2	a,Cure Bleeding\0	a,Heals one's wounds. Effect less than 7\0
61	3	a,Cure Bleeding\0	a,Heals one's wounds. Effect less than 9.\0
70	1	a,Drain Health\0	a,Absorbs HP. Power 20.\0
70	2	a,Drain Health\0	a,Absorbs HP. Power 22.\0
70	3	a,Drain Health\0	a,Absorbs HP. Power 24.\0
70	4	a,Drain Health\0	a,Absorbs HP. Power 26.\0
70	5	a,Drain Health\0	a,Absorbs HP. Power 28.\0
70	6	a,Drain Health\0	a,Absorbs HP. Power 29.\0
70	7	a,Drain Health\0	a,Absorbs HP. Power 31.\0
70	8	a,Drain Health\0	a,Absorbs HP. Power 33.\0
70	9	a,Drain Health\0	a,Absorbs HP. Power 34.\0
70	10	a,Drain Health\0	a,Absorbs HP. Power 35.\0
70	11	a,Drain Health\0	a,Absorbs HP. Power 38.\0
70	12	a,Drain Health\0	a,Absorbs HP. Power 39.\0
70	13	a,Drain Health\0	a,Absorbs HP. Power 40.\0
70	14	a,Drain Health\0	a,Absorbs HP. Power 43.\0
70	15	a,Drain Health\0	a,Absorbs HP. Power 44.\0
70	16	a,Drain Health\0	a,Absorbs HP. Power 46.\0
70	17	a,Drain Health\0	a,Absorbs HP. Power 49.\0
70	18	a,Drain Health\0	a,Absorbs HP. Power 50.\0
70	19	a,Drain Health\0	a,Absorbs HP. Power 52.\0
70	20	a,Drain Health\0	a,Absorbs HP. Power 53.\0
70	21	a,Drain Health\0	a,Absorbs HP. Power 55.\0
70	22	a,Drain Health\0	a,Absorbs HP. Power 57.\0
70	23	a,Drain Health\0	a,Absorbs HP. Power 58.\0
70	24	a,Drain Health\0	a,Absorbs HP. Power 60.\0
70	25	a,Drain Health\0	a,Absorbs HP. Power 61.\0
70	26	a,Drain Health\0	a,Absorbs HP. Power 63.\0
70	27	a,Drain Health\0	a,Absorbs HP. Power 65.\0
70	28	a,Drain Health\0	a,Absorbs HP. Power 66.\0
70	29	a,Drain Health\0	a,Absorbs HP. Power 68.\0
70	30	a,Drain Health\0	a,Absorbs HP. Power 70.\0
70	31	a,Drain Health\0	a,Absorbs HP. Power 72.\0
70	32	a,Drain Health\0	a,Absorbs HP. Power 73.\0
70	33	a,Drain Health\0	a,Absorbs HP. Power 75.\0
70	34	a,Drain Health\0	a,Absorbs HP. Power 77.\0
70	35	a,Drain Health\0	a,Absorbs HP. Power 78.\0
70	36	a,Drain Health\0	a,Absorbs HP. Power 80.\0
70	37	a,Drain Health\0	a,Absorbs HP. Power 82.\0
70	38	a,Drain Health\0	a,Absorbs HP. Power 84\0
70	39	a,Drain Health\0	a,Absorbs HP. Power 85\0
70	40	a,Drain Health\0	a,Absorbs HP. Power 87\0
70	41	a,Drain Health\0	a,Absorbs HP. Power 89\0
70	42	a,Drain Health\0	a,Absorbs HP. Power 90\0
70	43	a,Drain Health\0	a,Absorbs HP. Power 92\0
70	44	a,Drain Health\0	a,Absorbs HP. Power 94\0
70	45	a,Drain Health\0	a,Absorbs HP. Power 96\0
70	46	a,Drain Health\0	a,Absorbs HP. Power 97\0
70	47	a,Drain Health\0	a,Absorbs HP. Power 99\0
70	48	a,Drain Health\0	a,Absorbs HP. Power 100\0
70	49	a,Drain Health\0	a,Absorbs HP. Power 102\0
70	50	a,Drain Health\0	a,Absorbs HP. Power 104\0
70	51	a,Drain Health\0	a,Absorbs HP. Power 105\0
70	52	a,Drain Health\0	a,Absorbs HP. Power 107\0
70	53	a,Drain Health\0	a,Absorbs HP. Power 108\0
77	1	a,Attack Aura\0	a,Temporarily increases P. Atk. Effect 1.\0
77	2	a,Attack Aura\0	a,Temporarily increases P. Atk. Effect 2.\0
78	1	a,War Cry\0	a,Momentarily increases P. Atk. Effect 1.\0
78	2	a,War Cry\0	a,Momentarily increases P. Atk. Effect 2.\0
82	1	a,Majesty\0	a,Temporarily decreases Evasion and increases P. Def. Effect 1.\0
82	2	a,Majesty\0	a,Temporarily decreases Evasion and increases P. Def. Effect 2.\0
82	3	a,Majesty\0	a,Temporarily decreases Evasion and increases P. Def. Effect 3\0
91	1	a,Defense Aura\0	a,Temporarily increases P. Def. Effect 1.\0
91	2	a,Defense Aura\0	a,Temporarily increases P. Def. Effect 2.\0
92	1	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	2	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	3	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	4	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	5	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	6	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	7	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	8	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	9	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	10	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	11	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	12	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	13	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	14	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	15	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	16	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	17	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	18	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	19	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	20	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	21	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	22	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	23	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	24	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	25	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	26	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	27	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	28	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	29	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	30	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	31	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	32	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	33	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	34	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	35	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	36	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	37	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	38	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	39	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	40	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	41	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	42	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	43	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	44	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	45	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	46	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	47	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	48	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	49	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	50	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	51	a,Shield Stun\0	a,Throws target into a state of shock.\0
92	52	a,Shield Stun\0	a,Throws target into a state of shock.\0
99	1	a,Rapid Shot\0	a,Increases speed of arrow launch. Effect 1.\0
99	2	a,Rapid Shot\0	a,Increases speed of arrow launch. Effect 2.\0
101	1	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 287. Over-hit possible.\0
101	2	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 306. Over-hit possible.\0
101	3	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 326. Over-hit possible.\0
101	4	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 369. Over-hit possible.\0
101	5	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 392. Over-hit possible.\0
101	6	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 417. Over-hit possible.\0
101	7	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 442. Over-hit possible.\0
101	8	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 469. Over-hit possible.\0
101	9	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 496. Over-hit possible.\0
101	10	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 525. Over-hit possible.\0
101	11	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 555. Over-hit possible.\0
101	12	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 586. Over-hit possible.\0
101	13	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 618. Over-hit possible.\0
101	14	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 651. Over-hit possible.\0
101	15	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 686. Over-hit possible.\0
101	16	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 722. Over-hit possible.\0
101	17	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 758. Over-hit possible.\0
101	18	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 796. Over-hit possible.\0
101	19	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 835. Over-hit possible.\0
101	20	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 875. Over-hit possible.\0
101	21	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 916. Over-hit possible.\0
101	22	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 959. Over-hit possible.\0
101	23	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1002. Over-hit possible.\0
101	24	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1046. Over-hit possible.\0
101	25	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1091. Over-hit is possible.\0
101	26	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1136. Over-hit is possible.\0
101	27	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1183. Over-hit is possible.\0
101	28	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1230. Over-hit is possible.\0
101	29	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1278. Over-hit is possible.\0
101	30	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1327. Over-hit is possible.\0
101	31	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1376. Over-hit is possible.\0
101	32	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1425. Over-hit is possible.\0
101	33	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1475. Over-hit is possible.\0
101	34	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1525. Over-hit is possible.\0
101	35	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1576. Over-hit is possible.\0
101	36	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1626. Over-hit is possible.\0
101	37	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1677. Over-hit is possible.\0
101	38	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1727. Over-hit is possible.\0
101	39	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1777. Over-hit is possible.\0
101	40	a,Stun Shot\0	a,Archery attack that throws target into a state of shock. Power 1827. Over-hit is possible.\0
102	1	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 2.\0
102	2	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	3	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	4	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	5	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	6	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	7	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	8	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	9	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	10	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	11	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	12	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	13	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	14	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	15	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
102	16	a,Entangle\0	a,Temporarily reduces target's Speed. Effect 3.\0
105	1	a,Freezing Strike\0	a,Instantly freezes target area. Temporarily reduces enemy's Speed. Effect 2. Power 26.\0
105	2	a,Freezing Strike\0	a,Instantly freezes target area. Temporarily reduces enemy's Speed. Effect 2. Power 28.\0
105	3	a,Freezing Strike\0	a,Instantly freezes target area. Temporarily reduces enemy's Speed. Effect 2. Power 30.\0
105	4	a,Freezing Strike\0	a,Instantly freezes target area. Temporarily reduces enemy's Speed. Effect 2. Power 31.\0
105	5	a,Freezing Strike\0	a,Instantly freezes target area. Temporarily reduces enemy's Speed. Effect 2. Power 33.\0
105	6	a,Freezing Strike\0	a,Instantly freezes target area. Temporarily reduces enemy's Speed. Effect 2. Power 34.\0
105	7	a,Freezing Strike\0	a,Instantly freezes target area. Temporarily reduces enemy's Speed. Effect 2. Power 36.\0
105	8	a,Freezing Strike\0	a,Instantly freezes target area. Temporarily reduces enemy's Speed. Effect 2. Power 37.\0
