tag_?	quest_id	quest_prog	main_name	prog_name	description	cnt1	tab1[0]	tab1[1]	tab1[2]	tab1[3]	tab1[4]	tab1[5]	tab1[6]	tab1[7]	tab1[8]	tab1[9]	tab1[10]	tab1[11]	tab1[12]	tab1[13]	cnt2	tab2[0]	tab2[1]	tab2[2]	tab2[3]	tab2[4]	tab2[5]	tab2[6]	tab2[7]	tab2[8]	tab2[9]	tab2[10]	tab2[11]	tab2[12]	tab2[13]	quest_x	quest_y	quest_z	UNK_npc1_?	UNK_npc2_?	UNK_npc3_?	npc_name	UNK_0
1	4	1	a,Long Live the Paagrio Lord\0	a,Gifts from the Six Tribes\0	a,Paagrio Lord Kakai, the ruler of all Orcs, has fallen ill. The centurions have decreed that each tribe will offer him gifts to improve his health. Centurion Nakusin asks you to collect offerings from the six tribes. You must meet with the following tribal representatives: \n Tataru Zu Hestui of the dignified Hestui tribe, Chief Varkees of the cold-blooded Atuba tribe, Warehouse Keeper Grookin of the formidable Neruga tribe, Gantaki Zu Urutu of the strong-willed Urutu tribe, Trader Kunai of the strategist Dudamara tribe and Trader Uska of the ruthless Gandi tribe.\0	6	1541	1542	1543	1544	1545	1546									6	1	1	1	1	1	1									0.00000000	0.00000000	0.00000000	2	5	3	a,	1
1	4	2	a,Long Live the Paagrio Lord\0	a,Return to Nakusin\0	a,You have collected all the tributes for Paagrio Lord Kakai. Take them to Centurion Nakusin.\0	0															0															-47360.00000000	-113791.00000000	-237.00000000	2	5	3	a,Centurion Nakusin\0	0
1	5	1	a,Miner's Favor\0	a,Errand to the Village\0	a,Miner Bolter, a member of the Gray Column Guild, lives at the Strip Mine. He asks you to bring him some things from the village. Visit Trader Shari of the weapons shop, Trader Garita of the item store, Warehouse Chief Reed and Blacksmith Brunon and bring back the items for Miner Bolter.\0	4	1548	1549	1550	1551											4	1	1	1	1											0.00000000	0.00000000	0.00000000	2	5	3	a,	1
1	5	2	a,Miner's Favor\0	a,Return to Miner Bolter.\0	a,You have all of the items Bolter requested. Take them to him.\0	0															0															112656.00000000	-174864.00000000	-611.00000000	2	5	3	a,Miner Bolter\0	0
1	101	1	a,Sword of Solidarity\0	a,Broken Sword\0	a,Grand Master Roien of Cedric's Training Hall wants to restore the sword of solidarity. He explains that the sword was made long ago to symbolize the friendship between Elves and Humans. He mentions that Blacksmith Altran is also very interested in restoring this relic. He asks you to take the letter containing the results of his investigation of the relic to Altran in the Blacksmith Shop.\0	0															0															-85026.00000000	242689.00000000	-3729.00000000	9	16	3	a,Blacksmith Altran\0	0
1	101	2	a,Sword of Solidarity\0	a,Broken Sword Blade Piece\0	a,Blacksmith Altran explains that if he is to restore the Sword of Solidarity to its original condition, he must have the two pieces of the blade. He asks you to go the Elven Ruins and obtain the broken sword blade pieces from the orcs there. Hunt Tunath Orc Warriors and Tunath Orc Marksmen.\0	2	740	741													2	1	1													-112720.00000000	234880.00000000	-3693.00000000	9	16	3	a,Elven Ruins\0	1
1	101	3	a,Sword of Solidarity\0	a,Return to Blacksmith Altran\0	a,Take the broken sword blade pieces to Blacksmith Altran.\0	0															0															-85026.00000000	242689.00000000	-3729.00000000	9	16	3	a,Blacksmith Altran\0	0
1	101	4	a,Sword of Solidarity\0	a,Last Parts\0	a,While Blacksmith Altran joins the sword blade pieces together, go to Cedric's Training Hall and obtain the broken sword handle from Grand Master Roien.\0	1	739														1	1														-71384.00000000	258304.00000000	-3109.00000000	9	16	3	a,Grand Master Roien\0	0
1	101	5	a,Sword of Solidarity\0	a,Sword of Solidarity\0	a,Take the broken sword handle to Blacksmith Altran so he can restore the sword of solidarity to its original condition.\0	0															0															-85026.00000000	242689.00000000	-3729.00000000	9	16	3	a,Blacksmith Altran\0	0
1	102	1	a,Sea of Spores Fever\0	a,Cure for Fever\0	a,Sentinel Knight Alberius tells you that the Elven researchers who have recently gone to the Sea of Spores have come down with a fever. He is concerned about the guards he has dispatched there and asks for your help. He tells you that Master Cobendell has the cure for the fever but needs the ingredients to make the antidote. Go to Master Cobendell and help him to collect the ingredients he needs.\0	0															0															44823.00000000	52414.00000000	-2795.00000000	12	18	3	a,Master Cobendell\0	0
1	102	2	a,Sea of Spores Fever\0	a,Dryad's Tears\0	a,You must collect dryad's tears to make the cure for the fever. Collect 10 dryad's tears in the Elven Forest and take them to Master Cobendell. Hunt dryads and dryad elders.\0	1	966														1	10														22100.00000000	42756.00000000	-3744.00000000	12	18	3	a,Elven Forest\0	1
1	102	3	a,Sea of Spores Fever\0	a,Return to Cobendell\0	a,Take the dryad's tears to Master Cobendell.\0	0															0															44823.00000000	52414.00000000	-2795.00000000	12	18	3	a,Master Cobendell\0	0
1	102	4	a,Sea of Spores Fever\0	a,Medicine Created\0	a,Tthe fever medicine has been produced! Take it to Sentinel Knight Alberius.\0	0															0															45727.00000000	51721.00000000	-2803.00000000	12	18	3	a,Sentinel Knight Alberius\0	0
1	102	5	a,Sea of Spores Fever\0	a,Delivery of Medicine\0	a,Sentinel Knight Alberius asks you to deliver the fever medicine to four sentinels who have gone to the Sea of Spores. Take the medicine to Sentinel Berros, Sentinel Veltress, Sentinel Rayen and Sentinel Gartrandell.\0	0															0															0.00000000	0.00000000	0.00000000	12	18	3	a,	1
1	102	6	a,Sea of Spores Fever\0	a,Return to Sentinel Knight Alberius\0	a,You have distributed the fever medicine. Report to Sentinel Knight Alberius.\0	0															0															45727.00000000	51721.00000000	-2803.00000000	12	18	3	a,Sentinel Knight Alberius\0	0
1	103	1	a,Spirit of Craftsman\0	a,Method of Refining Oriharukon Ore\0	u,The Dark Elven Blacksmith, Karrod, wishes to conjure the spirit of Warsmith Roberto Steelbender in order to learn how to refine oriharukon ore. He asks for help in summoning the dead man’s spirit. Visit Abyssal Celebrant Cecktinon of the Temple of Shilen.\0	0															0															28225.00000000	12998.00000000	-3725.00000000	10	17	3	a,Abyssal Celebrant Cecktinon\0	0
1	103	2	a,Spirit of Craftsman\0	a,Net for Tying Up Dead Spirits\0	a,Abyssal Celebrant Cecktinon tells you that in order to summon Steelbender from the Well of Dead Souls he will need a soul catcher. Visit Magister Harne and ask him how to get a soul catcher.\0	0															0															10344.00000000	14445.00000000	-4242.00000000	10	17	3	a,Magister Harne\0	0
1	103	3	a,Spirit of Craftsman\0	a,Ingredients for Soul Catcher\0	a,10 old bones are needed to make a soul catcher. Go to the School of Dark Arts, kill skeletons and bring back bone fragments. Kill the skeleton hunter archers and doom soldiers.\0	1	1107														1	10														-47120.00000000	59136.00000000	-3328.00000000	10	17	3	a,School of Dark Arts\0	1
1	103	4	a,Spirit of Craftsman\0	a,Return to Harne\0	a,You have collected all 10 bone fragments. Return to Magister Harne in Dark Elven Village and have the soul catcher made.\0	0															0															10344.00000000	14445.00000000	-4242.00000000	10	17	3	a,Magister Harne\0	0
1	103	5	a,Spirit of Craftsman\0	a,Container to Hold Souls\0	a,A soul catcher has been created! Take it to Abyssal Celebrant Cecktinon.\0	0															0															28225.00000000	12998.00000000	-3725.00000000	10	17	3	a,Abyssal Celebrant Cecktinon\0	0
1	103	6	a,Spirit of Craftsman\0	a,Zombie's Head\0	a,The preparations for summoning Steelbender have almost all been completed. All that remains is to obtain a zombie head to temporarily hold the spirit. Go to the Swampland, kill a zombie and bring back its head. Hunt marsh zombies.\0	1	973														1	1														-13648.00000000	46064.00000000	-3611.00000000	10	17	3	a,Swampland\0	1
1	103	7	a,Spirit of Craftsman\0	a,Return to Abyssal Celebrant Cecktinon.\0	a,You have applied the preserving oil to the zombie head. Take it to Abyssal Celebrant Cecktinon before it begins to rot.\0	0															0															28225.00000000	12998.00000000	-3725.00000000	10	17	3	a,Abyssal Celebrant Cecktinon\0	0
1	103	8	a,Spirit of Craftsman\0	a,Steelbender Head\0	a,Abyssal Celebrant Cecktinon has conjured the soul of Steelbender by using the soul catcher. He then channels the spirit into the zombie head. Take it to Blacksmith Karrod before it starts to rot.\0	0															0															10580.00000000	17574.00000000	-4554.00000000	10	17	3	a,Blacksmith Karrod\0	0
1	104	1	a,Spirit of Mirrors\0	a,Escaped Spirits\0	a,The spirits of mirrors that Grand Magister Gallint was studying have escaped! Hit each one of them with Gallint's oak wand to seal them. Seal all three and return to Gallint. The guards in the village can tell you where to find the spirits.\0	3	1135	1136	1137												3	1	1	1												0.00000000	0.00000000	0.00000000	10	15	3	a,	1
1	104	2	a,Spirit of Mirrors\0	a,Location of the Spirits\0	a,The spirits of mirrors that Grand Magister Gallint was studying have escaped! Hit each one of them with Gallint's oak wand to seal them. Seal all three and return to Gallint. You will find one of them on the western shore of the island, another near the bridge west of Einhovant's School of Wizardry and the third can be found near the Obelisk of Victory.\0	3	1135	1136	1137												3	1	1	1												0.00000000	0.00000000	0.00000000	10	15	3	a,	1
1	104	3	a,Spirit of Mirrors\0	a,Return to Grand Magister Gallint\0	a,You have sealed all three of the spirits of mirrors with Gallint's oak wand! Return to Grand Magister Gallint.\0	0															0															-91008.00000000	248016.00000000	-3568.00000000	10	15	3	a,Grand Magister Gallint\0	1
1	105	1	a,Skirmish with the Orcs\0	a,Guardian of the Forest\0	a,Orcs have recently made several attacks upon the Elven Forest. The Elves have decided to take their revenge upon the Kaboo orcs in the Misty Mountains. Read the order from Sentinel Kendell and hunt the orcs!\0	1	1844														1	1														0.00000000	0.00000000	0.00000000	10	15	3	a,	1
1	105	2	a,Skirmish with the Orcs\0	a,Return to Sentinel Kendell.\0	a,You have destroyed the Kaboo orcs! Report to Sentinel Kendell.\0	0															0															47595.00000000	51569.00000000	-2996.00000000	10	15	3	a,Sentinel Kendell\0	0
1	105	3	a,Skirmish with the Orcs\0	a,The Second Order\0	a,The war has not yet been won. Kaboo orcs are massing around Iris Lake in the southern part of the village and are preparing to launch an invasion! You must follow Sentinel Kendell's orders! Slay the Kaboo orcs!\0	1	1845														1	1														0.00000000	0.00000000	0.00000000	10	15	3	a,	1
1	105	4	a,Skirmish with the Orcs\0	a,Return to Sentinel Kendell Again.\0	u,You've accomplished Kendell’s second order! Report to Sentinel Kendell in Elven Village.\0	0															0															47595.00000000	51569.00000000	-2996.00000000	10	15	3	a,Sentinel Kendell\0	0
1	106	1	a,Forgotten Truth\0	a,"Kaysha's Revelations"\0	a,Dark Elven Tetrarch Thifiell asked Abyssal Celebrant Kartia to translate an ancient manuscript. He now asks you to retrieve the translated copy of "Kaysha's Revelations". You must be very discreet.\0	0															0															27921.00000000	12991.00000000	-3728.00000000	10	15	3	a,Abyssal Celebrant Kartia\0	0
1	106	2	a,Forgotten Truth\0	a,In Search of the Stolen Revelations\0	a,You hear that "Kaysha's Revelations" was stolen by Tumran orcs! Kill the Tumran orc brigands that were last seen camping near the Altar of Rites, and recover the original copy of "Kaysha's Revelations" and a clay tablet.\0	2	986	987													2	1	1													-48785.00000000	76841.00000000	-3632.00000000	10	15	3	a,Tumran Orc Brigand\0	1
1	106	3	a,Forgotten Truth\0	a,Return to Abyssal Celebrant Kartia\0	a,You have recovered the ancient scroll and clay tablet. Abyssal Celebrant Kartia is waiting for you.\0	0															0															27921.00000000	12991.00000000	-3728.00000000	10	15	3	a,Abyssal Celebrant Kartia\0	0
1	106	4	a,Forgotten Truth\0	a,Translation of the Completed Revelations\0	a,The translation of "Kaysha's Revelations" is complete. Tetrarch Thifiell is waiting for you.\0	0															0															10775.00000000	14190.00000000	-4242.00000000	10	15	3	a,Tetrarch Thifiell\0	0
1	107	1	a,Merciless Punishment\0	a,Stop Varangka's Conspiracy!\0	u,Varangka, Shaman of Darkness, is scheming to destroy the kingdom of the Orcs. Urutu Chief Hatos has learned of his plot, and has ordered the elimination of all of Varangka’s followers. Kill them all! Centurion Parugon will tell you where to find them.\0	0															0															-45744.00000000	-117165.00000000	-236.00000000	12	16	3	a,Centurion Parugon\0	0
1	107	2	a,Merciless Punishment\0	a,Catch Varangka's Messenger!\0	a,Varangka's messengers and escorts are advancing from the far eastern Immortal Plateau to the Frozen Waterfalls! Kill them all!\0	1	1557														1	1														16576.00000000	-118592.00000000	-768.00000000	12	16	3	a,Varangka's Messenger\0	1
1	107	3	a,Merciless Punishment\0	a,Discovery of the secret letter!\0	a,You have recovered a secret letter from Varangka's messenger. Take it to Urutu Chief Hatos.\0	0															0															-46808.00000000	-113184.00000000	-112.00000000	12	16	3	a,Urutu Chief Hatos\0	0
1	107	4	a,Merciless Punishment\0	a,Are there more secret letters?\0	a,Varangka must have sent more than one secret letter! Find Varangka's messengers and try to find other secret letters!\0	1	1556														1	1														16576.00000000	-118592.00000000	-768.00000000	12	16	3	a,Varangka's Messenger\0	1
1	107	5	a,Merciless Punishment\0	a,A second secret letter discovered!\0	a,You've found another secret letter! Take it to Urutu Chief Hatos.\0	0															0															-46808.00000000	-113184.00000000	-112.00000000	12	16	3	a,Urutu Chief Hatos\0	0
1	107	6	a,Merciless Punishment\0	a,Further intrigues!\0	u,This can’t be the end of it! Search harder!\0	1	1558														1	1														16576.00000000	-118592.00000000	-768.00000000	12	16	3	a,Varangka's Messenger\0	1
1	107	7	a,Merciless Punishment\0	a,Discovery of the third secret letter!\0	a,You've found another secret letter! Take it to Urutu Chief Hatos.\0	0															0															-46808.00000000	-113184.00000000	-112.00000000	12	16	3	a,Urutu Chief Hatos\0	0
1	108	1	a,Jumble, Tumble, Diamond Fuss\0	a,In Search of a Star Diamond!\0	a,Collector Gouph of the Bronze Key Guild has purchased a rare star diamond from Trader Reep of the Silver Scales Guild. It is one of only twelve on the continent! Three days have past since the agreed-upon delivery date and Gouph is becoming impatient. He asks you to go to Trader Reep, retrieve the star diamond and bring it to him.\0	0															0															115741.00000000	-181645.00000000	-1344.00000000	10	14	3	a,Trader Reep\0	0
1	108	2	a,Jumble, Tumble, Diamond Fuss\0	a,Carrier Torocco\0	a,Trader Reep informs you that he gave the star diamond to Carrier Torocco to deliver to Gouph. Find Torocco and ask him about the diamond.\0	0															0															114866.00000000	-180328.00000000	-881.00000000	10	14	3	a,Carrier Torocco\0	0
1	108	3	a,Jumble, Tumble, Diamond Fuss\0	a,Booze can make you lose!\0	a,Torocco got drunk with Miner Maron last night and passed out. When he awoke, his weapons, armor, money and even the star diamond had been stolen! Find Maron and ask him what happened.\0	0															0															112265.00000000	-173366.00000000	-611.00000000	10	14	3	a,Miner Maron\0	0
1	108	4	a,Jumble, Tumble, Diamond Fuss\0	a,Gambling can make you a loser, too!\0	a,Carrier Torocco is usually quite trustworthy, but.when he starts drinking he inevitably starts gambling. He got drunk last night and lost everything he had in a dice game with Blacksmith Brunon. Could this mean that Blacksmith Brunon has the star diamond?\0	0															0															115315.00000000	-182155.00000000	-1444.00000000	10	14	3	a,Blacksmith Brunon\0	0
1	108	5	a,Jumble, Tumble, Diamond Fuss\0	a,Brunon's Request\0	a,Indeed, Blacksmith Brunon won the star diamond in a dice game! He tells you that he will give it to you if you recover the aquamarine and chrysoberyl that were stolen by a goblin brigand lieutenant.\0	2	1564	1565													2	10	10													116928.00000000	-212620.00000000	-3608.00000000	10	14	3	a,Western Mining Region\0	1
1	108	6	a,Jumble, Tumble, Diamond Fuss\0	a,Return to Blacksmith Brunon\0	a,You have recovered the aquamarines and chrysoberyls that Blacksmith Brunon lost. Take them to him.\0	0															0															115315.00000000	-182155.00000000	-1444.00000000	10	14	3	a,Blacksmith Brunon\0	0
1	108	7	a,Jumble, Tumble, Diamond Fuss\0	a,Gem Box\0	a,Brunon gives you the gem box he says he won in a dice game. Take it to Gouph.\0	0															0															115717.00000000	-183488.00000000	-1483.00000000	10	14	3	a,Collector Gouph\0	0
1	108	8	a,Jumble, Tumble, Diamond Fuss\0	a,Useless Coal\0	a,The gem box doesn't contain the star diamond, only a strange looking piece of coal! Return to Blacksmith Brunon and demand an explanation!\0	0															0															115315.00000000	-182155.00000000	-1444.00000000	10	14	3	a,Blacksmith Brunon\0	0
1	108	9	a,Jumble, Tumble, Diamond Fuss\0	a,A Chest of Mistaken Identity\0	a,The piece of coal once belonged to Warehouse Freightman Murdoc. Take the letter from Brunon to Murdoc and exchange it for the gem box that contains the star diamond.\0	0															0															114716.00000000	-180018.00000000	-871.00000000	10	14	3	a,Warehouse Freightman Murdoc\0	0
1	108	10	a,Jumble, Tumble, Diamond Fuss\0	a,The Diamond Is Gone!\0	a,The star diamond was eaten by a bat that Warehouse Keeper Airy keeps as a pet! The bat escaped out of an open window! Go quickly and speak with Airy!\0	0															0															114832.00000000	-179520.00000000	-871.00000000	10	14	3	a,Warehouse Keeper Airy\0	0
1	108	11	a,Jumble, Tumble, Diamond Fuss\0	a,Who keeps a bat as a pet, anyway?\0	a,Warehouse Keeper Airy asks you to find his pet, a blade bat. Kill the bat and get the diamond.\0	1	1571														1	1														116928.00000000	-212620.00000000	-3608.00000000	10	14	3	a,Western Mining Region\0	1
1	108	12	a,Jumble, Tumble, Diamond Fuss\0	a,Small Sacrifice, Great Reward\0	a,You finally recover the star diamond. Pray for the soul of the poor bat then take the star diamond to Collector Gouph.\0	0															0															115717.00000000	-183488.00000000	-1483.00000000	10	14	3	a,Collector Gouph\0	0
1	151	1	a,Cure for Fever Disease\0	a,Spider's Poison Sac\0	a,Elias, a Master at the School of Wizardry, has been gathering herbs in the northern woods with some students. The students have fallen ill, and Priest Yohanes has been asked to create a remedy. He needs the poison sacs of many spiders, and you are asked to bring them to him.\0	1	703														1	1														-115531.00000000	225992.00000000	-3036.00000000	15	21	3	a,Western Territory of Talking Island\0	1
1	151	2	a,Cure for Fever Disease\0	a,Creation of the Cure for the Fever\0	a,You have obtained the poison sacs of giant spiders. Take them immediately to Priest Yohanes and ask him to make the medicine!\0	0															0															-84981.00000000	244764.00000000	-3726.00000000	15	21	3	a,Priest Yohanes\0	0
1	151	3	a,Cure for Fever Disease\0	a,Treatment of the Fever\0	a,Priest Yohanes made fever medicine with the poison sacs you collected for him. Take the medicine for the students of the School of Wizardry to Master Elias immediately!\0	0															0															-84057.00000000	242832.00000000	-3729.00000000	15	21	3	a,Elias\0	0
1	152	1	a,Shards of Golem\0	a,New Tools\0	a,A few days ago the roof of the temple was wrecked by a storm. Magister Harrys has asked Blacksmith Altran for tools with which to repair the roof. He asks you to pick up the tools from Blacksmith Altran.\0	0															0															-85026.00000000	242689.00000000	-3729.00000000	10	17	3	a,Blacksmith Altran\0	0
1	152	2	a,Shards of Golem\0	a,Stone Hammer\0	a,Blacksmith Altran asks you to obtain shards of golem for him so he can make a new hammer.\0	1	1010														1	5														-100118.00000000	224043.00000000	-3730.00000000	10	17	3	a,Western Territory of Talking Island\0	1
1	152	3	a,Shards of Golem\0	a,Return to Blacksmith Altran\0	a,You have obtained five shards of golem. Take them to Blacksmith Altran and ask him to make a hammer for you.\0	0															0															-85026.00000000	242689.00000000	-3729.00000000	10	17	3	a,Blacksmith Altran\0	0
1	152	4	a,Shards of Golem\0	a,Delivery of a Tool Box\0	a,Blacksmith Altran asks you to deliver the hammer and a tool box containing other tools to Magister Harrys.\0	0															0															-84965.00000000	245222.00000000	-3726.00000000	10	17	3	a,Magister Harrys\0	0
1	153	1	a,Deliver Goods\0	a,Deliver Goods\0	a,Guard Arnold, who has been working on the recovery of several recent shipwrecks, asks you to deliver some salvaged goods. Deliver the wooden box to Trader Jackson in the weapons shop. Deliver the bolts of cloth to Trader Silvia at the grocery store, and deliver the clay jar to Warehouse Keeper Rant.\0	3	1016	1017	1018												3	1	1	1												0.00000000	0.00000000	0.00000000	2	5	3	a,	1
1	153	2	a,Deliver Goods\0	a,Delivery Report\0	a,You have delivered the salvaged goods. Report to Guard Arnold.\0	0															0															-82319.00000000	244709.00000000	-3727.00000000	2	5	3	a,Guard Arnold\0	0
1	154	1	a,Sacrifice to the Sea\0	a,Ritual for Shilen\0	a,In order to calm the violent storms that have battered the island, Lighthouse Keeper Rockswell is planning a ritual sacrifice to the goddess Shilen. The original ritual calls for a live maiden, but he decides to offer a doll instead. To make the hair of the doll, he needs fox fur. Hunt keltirs around the village and take 10 units of fox fur to Cristel in the village.\0	1	1032														1	10														-83953.00000000	251562.00000000	-3797.00000000	2	7	3	a,Eastern Territory of Talking Island\0	1
1	154	2	a,Sacrifice to the Sea\0	a,Doll's Hair\0	a,You have obtained 10 units of fox fur. Take them to Cristel.\0	0															0															-82041.00000000	242718.00000000	-3725.00000000	2	7	3	a,Cristel\0	0
1	154	3	a,Sacrifice to the Sea\0	a,Completed Doll\0	u,The fox fur yarn for the doll’s hair has been spun. Take it to Warehouse Keeper Rolfe.\0	0															0															-81840.00000000	243534.00000000	-3721.00000000	2	7	3	a,Warehouse Keeper Rolfe\0	0
1	154	4	a,Sacrifice to the Sea\0	a,Offerings for a Ritual\0	a,Warehouse Keeper Rolfe has made the doll and attached its hair. Take the completed girl doll to Lighthouse Keeper Rockswell.\0	0															0															-78939.00000000	240305.00000000	-3443.00000000	2	7	3	a,Lighthouse Keeper Rockswell\0	0
1	155	1	a,Find Sir Windawood\0	a,Find Sir Windawood\0	a,Guard Abellos tells you that an urgent message has arrived from Gludio Castle for Sir Collin Windawood, the Consul of Talking Island. He asks you to deliver the message to the Consul near the Obelisk of Victory.\0	0															0															-100155.00000000	238092.00000000	-3573.00000000	3	6	3	a,Obelisk of Victory\0	1
1	156	1	a,Millennium Love\0	a,Whereabouts of the Lost Lover\0	a,Lilith has pined for her lost love for over a thousand years in the temple of Talking Island. She lost her lover, Theon, in the war against Beleth. Because his body was never recovered, she has never accepted his death. She asks you to look for him on your way to Gludio.\0	0															0															-81861.00000000	149475.00000000	-3121.00000000	15	19	3	a,???\0	0
1	156	2	a,Millennium Love\0	a,Lover's Diary\0	a,Master Baenedes bears a  remarkable resemblance to Theon. He was one of his best students, and learned to use both the sword and bow from him. Sadly, Theon passed away to be with Eva several years ago. Baenedes asks you to deliver Theon's diary to Lilith.\0	0															0															-85301.00000000	244587.00000000	-3725.00000000	15	19	3	a,Lilith\0	0
1	157	1	a,Recover Smuggled Goods\0	a,Toad Hunting\0	a,Warehouse Keeper Wilfred has been smuggling goods in violation of the embargo enacted after the war with Grecia. Recently a merchant ship was stranded, spilling adamantite ore all over the shore. Much of the ore was recovered, but giant toads are swallowing what remains of it. Hunt the giant toads and recover the ore.\0	1	1024														1	20														-94829.00000000	246982.00000000	-3777.00000000	5	9	3	a,The Lake Shore Near the School\0	1
1	157	2	a,Recover Smuggled Goods\0	a,Return to Warehouse Keeper Wilford\0	a,You've recovered all the adamantite ore scattered on the shore. Take it to Warehouse Keeper Wilford.\0	0															0															-81512.00000000	243424.00000000	-3720.00000000	5	9	3	a,Warehouse Keeper\0	0
1	158	1	a,Seed of Evil\0	a,Evil Power\0	a,High Priest Biotin has received a message from his dreams that something wicked is growing in the Elven Ruins. He says that the evil seed looks like a gigantic bat-winged demon. He asks you to destroy it.\0	1	1025														1	1														-112720.00000000	234880.00000000	-3693.00000000	21	26	3	a,Elven Ruins\0	1
1	158	2	a,Seed of Evil\0	a,Return to High Priest Biotin\0	a,You have slain Nerkas, the evil seed, and obtained the clay tablet. Take it to High Priest Biotin at the temple in the village.\0	0															0															-84516.00000000	245449.00000000	-3714.00000000	21	26	3	a,High Priest Biotin\0	0
1	159	1	a,Protect the Water Source\0	a,In Search of the Source of Pollution\0	a,Elven Hierarch Asterios is concerned that the Mother Tree of the village is being contaminated. He asks you to visit its water source, the lake north of the village. Destroy the cause of the contamination, the plague zombies.\0	1	1035														1	1														34989.00000000	35762.00000000	-3764.00000000	12	18	3	a,Water Source\0	1
1	159	2	a,Protect the Water Source\0	a,Suspicious Corpse\0	a,You've obtained plague dust from a suspicious looking zombie. Could this be what Hierarch Asterios was talking about? Take it to him.\0	0															0															44692.00000000	52261.00000000	-2795.00000000	12	18	3	a,Hierarch Asterios\0	0
