nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords?[0]	coords?[1]	coords?[2]	coords?[3]	coords?[4]	coords?[5]	unk02	map	dupa
47	254	20	22	30000.00000000	-30000.00000000	u,Замок Дион\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
48	255	20	22	30000.00000000	-30000.00000000	u,Дион\0	927	2042	11840	138432	1024	1024	0.05000000	a,map_dion_castle_town\0	0
49	252	20	23	30000.00000000	-30000.00000000	u,Ипподром\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
50	255	21	21	30000.00000000	-30000.00000000	u,Лагерь Партизан\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
51	255	21	22	30000.00000000	-30000.00000000	u,Земля Казненных\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
52	253	20	21	30000.00000000	-4407.00000000	u,Топи Крумы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
53	255	20	21	30000.00000000	-30000.00000000	u,Топи Крумы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
54	254	20	21	30000.00000000	-4407.00000000	u,Башня Крумы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
55	253	20	21	-4408.00000000	-14036.00000000	u,Башня Крумы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
56	254	20	21	-4408.00000000	-30000.00000000	u,Башня Крумы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
57	254	21	22	30000.00000000	-30000.00000000	u,Каньон Танор\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
58	255	20	23	30000.00000000	-30000.00000000	u,Деревня Флоран\0	903	2156	11840	165120	1024	1024	0.05000000	a,map_floran_village\0	0
59	253	20	23	30000.00000000	-30000.00000000	u,Пасека\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
60	255	20	14	-1952.00000000	-3952.00000000	u,Пещера Испытаний\0	909	765	7400	-124192	1024	1024	0.05000000	a,dungeon_map_dungeon_of_trial\0	0
61	255	20	13	30000.00000000	-30000.00000000	u,Замерзший Водопад\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
62	255	18	14	30000.00000000	-30000.00000000	u,Деревня Орков\0	602	743	-52736	-120832	1024	1024	0.05000000	a,map_orc_village\0	0
63	254	18	14	30000.00000000	-30000.00000000	u,Храм Паагрио\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
64	254	23	12	30000.00000000	-30000.00000000	u,Деревня Гномов\0	1417	401	110144	-187968	1024	1024	0.05000000	a,map_dwarven_village\0	0
65	255	25	12	4224.00000000	-4810.00000000	u,Мифриловый Рудник\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
66	255	24	12	3424.00000000	-2704.00000000	u,Заброшенный Угольный Рудник\0	1552	453	134800	-182650	1024	1024	0.05000000	a,dungeon_map_abaodoned_mime\0	0
67	255	23	12	30000.00000000	-30000.00000000	u,Рудник Возрождения\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
68	255	24	20	30000.00000000	-30000.00000000	u,Лес Зеркал\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
69	255	25	19	30000.00000000	-30000.00000000	u,Пещера Гигантов\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
70	254	25	19	-5172.00000000	-30000.00000000	u,Долина Безмолвия\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
71	255	25	18	30000.00000000	-30000.00000000	u,Кладбище\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
72	255	24	19	30000.00000000	-30000.00000000	u,Озеро Нарсилл\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
73	253	25	19	30000.00000000	-30000.00000000	u,Забытые Равнины\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
74	255	23	20	30000.00000000	-30000.00000000	u,Деревня Охотников\0	1424	1706	111104	70016	1024	1024	0.05000000	a,map_hunters_village\0	0
75	254	25	18	30000.00000000	-30000.00000000	u,Запретные Врата\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
76	254	24	18	30000.00000000	-30000.00000000	u,Замок Аден\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
77	255	24	18	30000.00000000	-30000.00000000	u,Город Аден\0	1574	1446	139264	16384	1024	1024	0.05000000	a,map_town_of_aden\0	0
78	254	25	20	30000.00000000	-30000.00000000	u,Ангельский Водопад\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
79	251	23	18	6944.00000000	5952.00000000	u,Башня Дерзости: 10-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
80	251	23	18	7952.00000000	6976.00000000	u,Башня Дерзости: 11-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
81	251	23	18	8960.00000000	7968.00000000	u,Башня Дерзости: 12-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
82	251	23	18	10048.00000000	8976.00000000	u,Башня Дерзости: 13-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
83	251	23	18	12000.00000000	10064.00000000	u,Башня Дерзости: 14-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
84	251	23	18	-3728.00000000	-10000.00000000	u,Башня Дерзости: 1-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
85	251	23	18	-2192.00000000	-3680.00000000	u,Башня Дерзости: 2-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
86	251	23	18	-704.00000000	-2128.00000000	u,Башня Дерзости: 3-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
87	251	23	18	784.00000000	-688.00000000	u,Башня Дерзости: 4-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
88	251	23	18	1872.00000000	896.00000000	u,Башня Дерзости: 5-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
89	251	23	18	2912.00000000	1888.00000000	u,Башня Дерзости: 6-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
90	251	23	18	3920.00000000	2928.00000000	u,Башня Дерзости: 7-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
91	251	23	18	4928.00000000	3952.00000000	u,Башня Дерзости: 8-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
92	251	23	18	5936.00000000	4944.00000000	u,Башня Дерзости: 9-й этаж\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
93	254	24	19	30000.00000000	-30000.00000000	u,Колизей\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
94	255	25	17	30000.00000000	-4220.00000000	u,Разоренный Замок\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
95	255	24	17	30000.00000000	-30000.00000000	u,Раскаленные Топи\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
96	254	23	17	30000.00000000	-30000.00000000	u,Древнее Поле Битвы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
97	253	23	17	30000.00000000	-30000.00000000	u,Восточная Пограничная Застава\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
98	255	22	17	30000.00000000	-30000.00000000	u,Лагерь Разбойников\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
99	255	22	18	30000.00000000	-4632.00000000	u,Башня Слоновой Кости\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
100	254	22	19	30000.00000000	-30000.00000000	u,Замок Орен\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
101	255	22	19	30000.00000000	-30000.00000000	u,Орен\0	1250	1595	75136	48768	1024	1024	0.05000000	a,map_town_of_oren\0	0
102	254	22	20	30000.00000000	-3900.00000000	u,Долина Ящеров\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
103	255	23	19	30000.00000000	-30000.00000000	u,Волшебная Долина\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
104	255	21	18	30000.00000000	-30000.00000000	u,Море Спор\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
105	253	22	19	30000.00000000	-30000.00000000	u,Луга Небесной Тени\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
106	255	19	19	30000.00000000	-30000.00000000	u,Топи\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
107	255	20	18	30000.00000000	-30000.00000000	u,Деревня Темных Эльфов\0	885	1394	768	9344	1024	1024	0.05000000	a,map_dark_elven_village\0	0
108	254	20	18	30000.00000000	-30000.00000000	u,Храм Шилен\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
109	255	18	20	30000.00000000	-4000.00000000	u,Церемониальный алтарь\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
110	255	18	19	30000.00000000	-30000.00000000	u,Школа Темной Магии\0	608	1572	-57500	39808	1024	1024	0.05000000	a,dungeon_map_black_magic_laboratory\0	0
111	254	21	19	30000.00000000	-30000.00000000	u,Тень Древа Жизни\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
112	255	21	20	30000.00000000	-30000.00000000	u,Радужное Озеро\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
113	255	21	19	30000.00000000	-30000.00000000	u,Эльфийская Деревня\0	1071	1568	39168	42688	1024	1024	0.05000000	a,map_elven_village\0	0
114	255	20	20	-3200.00000000	-4450.00000000	u,Эльфийская Крепость\0	958	1687	8320	68086	1024	1024	0.05000000	a,dungeon_map_elven_underground_fortress\0	0
115	253	21	19	30000.00000000	-30000.00000000	u,Водопад Звездного Сияния\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
116	255	22	23	30000.00000000	-30000.00000000	u,Поля Безмолвия\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
117	255	22	24	30000.00000000	-30000.00000000	u,Шепчущие Поля\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
118	255	23	24	30000.00000000	-30000.00000000	u,Хейн\0	1391	2436	101504	212608	1024	1024	0.05000000	a,map_heine\0	0
119	255	21	24	30000.00000000	-30000.00000000	u,Остров Дьявола\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
120	255	23	23	30000.00000000	-30000.00000000	u,Остров Аллигаторов\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
121	255	22	25	30000.00000000	-30000.00000000	u,Сады Богини Евы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
122	254	23	24	30000.00000000	-30000.00000000	u,Пристань Паромов\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
123	255	23	25	30000.00000000	-30000.00000000	u,Замок Иннадрил\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
124	254	21	24	30000.00000000	-30000.00000000	u,Тоннель Пиратов\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
125	249	17	21	-3968.00000000	-5056.00000000	u,Оракул Рассвета\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
126	249	17	20	-4224.00000000	-5312.00000000	u,Оракул Заката\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
127	249	18	20	-4064.00000000	-4896.00000000	u,Молитвенный Некрополь\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
128	249	18	24	-4282.00000000	-5242.00000000	u,Жертвенный Некрополь\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
129	249	19	18	-4224.00000000	-5056.00000000	u,Катакомбы Темного Пророчества\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
130	249	19	20	-4496.00000000	-5328.00000000	u,Некрополь Повстанцев\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
131	249	21	21	-4736.00000000	-5568.00000000	u,Некрополь Пилигримов\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
132	249	21	22	-4704.00000000	-5536.00000000	u,Катакомбы Еретиков\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
133	249	21	23	-4304.00000000	-5136.00000000	u,Катакомбы Отлученных\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
134	249	22	20	-3936.00000000	-5280.00000000	u,Катакомбы Отступников\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
135	249	22	24	-4762.00000000	-5594.00000000	u,Некрополь Святых\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
136	249	23	20	-5352.00000000	-6696.00000000	u,Катакомбы Запретного Пути\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
137	249	23	22	-4154.00000000	-4986.00000000	u,Некрополь Мучеников\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
138	249	23	23	-4762.00000000	-5594.00000000	u,Некрополь Послушников\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
139	249	24	20	-3984.00000000	-5584.00000000	u,Катакомбы Ведьм\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
140	249	25	17	-4224.00000000	-5644.00000000	u,Некрополь Апостолов\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
141	255	16	10	30000.00000000	-30000.00000000	u,Комната GM\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
142	255	18	24	-4282.00000000	-5242.00000000	u,Жертвенный Некрополь\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
143	253	17	20	-4224.00000000	-5312.00000000	u,Оракул Заката\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
144	249	17	20	30000.00000000	-4220.00000000	u,Земли Глудио\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
145	250	17	20	-4224.00000000	-5312.00000000	u,Оракул Заката\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
146	250	17	20	30000.00000000	-4220.00000000	u,Темный Лес\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
147	252	18	22	30000.00000000	-30000.00000000	u,Озеро Фельмер\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
148	252	17	22	30000.00000000	-30000.00000000	u,Озеро Фельмер\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
149	255	19	24	30000.00000000	-4200.00000000	u,Поселение Ящеров Лангк\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
150	253	18	24	30000.00000000	-30000.00000000	u,Подножье Горы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
151	253	19	24	30000.00000000	-30000.00000000	u,Подножье Горы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
152	253	18	23	-3760.00000000	-5632.00000000	u,Забытый Храм\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
153	254	21	23	30000.00000000	-30000.00000000	u,Каньон Танор\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
154	254	22	22	30000.00000000	-30000.00000000	u,Каньон Танор\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
155	253	21	23	30000.00000000	-30000.00000000	u,Пасека\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
156	254	23	18	30000.00000000	-30000.00000000	u,Древнее Поле Битвы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
157	249	18	24	30000.00000000	-4200.00000000	u,Подножье Горы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
158	249	22	20	30000.00000000	-3900.00000000	u,Земли Орена\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
159	254	22	20	-3936.00000000	-5280.00000000	u,Катакомбы Отступников\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
160	249	17	21	30000.00000000	-3950.00000000	u,Земли Глудио\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
161	249	18	20	30000.00000000	-4000.00000000	u,Темный Лес\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
162	255	18	20	-4064.00000000	-4896.00000000	u,Молитвенный Некрополь\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
163	250	18	20	30000.00000000	-4000.00000000	u,Туманные Горы\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
164	250	18	20	-4064.00000000	-4896.00000000	u,Молитвенный Некрополь\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
165	250	19	20	-4496.00000000	-5328.00000000	u,Некрополь Повстанцев\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
166	249	19	20	30000.00000000	-4480.00000000	u,Темный Лес\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
167	250	19	20	30000.00000000	-4480.00000000	u,Нейтральная Зона\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
168	249	19	18	30000.00000000	-4220.00000000	u,Темный Лес\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
169	249	21	21	30000.00000000	-4700.00000000	u,Лагерь Партизан\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
170	249	21	22	30000.00000000	-4700.00000000	u,Земля Казненных\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
171	249	21	23	30000.00000000	-4300.00000000	u,Земли Гирана\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
172	249	22	24	30000.00000000	-4760.00000000	u,Шепчущие Поля\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
173	249	23	20	30000.00000000	-5350.00000000	u,Деревня Охотников\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
174	249	23	22	30000.00000000	-4150.00000000	u,Сад Цветов Горгон\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
175	249	23	23	30000.00000000	-4760.00000000	u,Остров Аллигаторов\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
176	249	24	20	30000.00000000	-3980.00000000	u,Лес Зеркал\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
177	255	25	17	-4224.00000000	-5644.00000000	u,Некрополь Апостолов\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
178	255	25	21	30000.00000000	-30000.00000000	u,Гнездо Антараса\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
179	254	19	23	30000.00000000	-4400.00000000	u,Пустошь\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
180	255	20	14	30000.00000000	29999.00000000	u,Лион\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
181	255	20	20	30000.00000000	-3100.00000000	u,Эльфийский Лес\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
182	254	18	23	30000.00000000	-3700.00000000	u,Земли Глудио\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
183	255	24	12	30000.00000000	3430.00000000	u,Земли Шутгарта\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
184	255	25	12	30000.00000000	4250.00000000	u,Земли Шутгарта\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
185	254	25	19	30000.00000000	-5170.00000000	u,Пещера Гигантов\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
186	254	19	19	30000.00000000	-30000.00000000	u,Водопад Ундины\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
187	254	22	18	30000.00000000	-30000.00000000	u,Водопад Богов\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
188	249	25	17	30000.00000000	-4220.00000000	u,Поле Брани\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
189	244	19	13	30000.00000000	-30000.00000000	u,Плато Бессмертия (север)\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
190	244	19	14	30000.00000000	-30000.00000000	u,Плато Бессмертия (север)\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
191	244	19	15	30000.00000000	-30000.00000000	u,Плато Бессмертия (север)\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
192	244	20	13	30000.00000000	-30000.00000000	u,Плато Бессмертия (север)\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
193	244	20	14	30000.00000000	-30000.00000000	u,Плато Бессмертия (север)\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
194	245	19	15	30000.00000000	-30000.00000000	u,Плато Бессмертия (юг)\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
195	245	20	14	30000.00000000	-30000.00000000	u,Плато Бессмертия (юг)\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
196	245	20	15	30000.00000000	-30000.00000000	u,Плато Бессмертия (юг)\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
197	243	18	14	30000.00000000	-30000.00000000	u,Долина Героев\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
198	243	19	14	30000.00000000	-30000.00000000	u,Долина Героев\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
199	243	23	12	30000.00000000	-30000.00000000	u,Замерзшая Долина\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
200	244	23	11	30000.00000000	-30000.00000000	u,Западные Рудники\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
201	244	23	12	30000.00000000	-30000.00000000	u,Западные Рудники\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
202	244	24	11	30000.00000000	-30000.00000000	u,Западные Рудники\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
203	244	24	12	30000.00000000	-30000.00000000	u,Западные Рудники\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
204	245	24	11	30000.00000000	-30000.00000000	u,Восточные Рудники\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
205	245	24	12	30000.00000000	-30000.00000000	u,Восточные Рудники\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
